USER,DATE,STAR,LIKE,TITLE,REVIEW
제라유뱐유쟎울,2023-09-18 15:34:43-07:00,4,0,말이되나,공적인 병원 진료에 민간 유통왜 끼어드나. 틈새시장 공략하려고 했던거 같은데 정부에서 이거 규제해야한다고 본다 공론화해야함
ㄹ리뷸ㄹㄹㄹ,2023-09-18 08:23:22-07:00,1,0,공공의료서비스를 사기업이 이득을 취하네?,"건보료는 건보료 대로 내는데 병원을 가려면
똑딱(사기업)에 돈을 내고 대기하라니
뭔 말같지도 않은 소리인지 ㅡㅡ
똑딱 안하는 병원 가서 진료 받을거임"
믭,2023-09-17 17:41:14-07:00,1,0,갑자기 유료화,"이해가 안돼요
앞으로 금액을 올리지 않을것이라는 약속은 왜 하나요? 확신하시나요?
오픈런이나 해야겠네요.."
햄쮜념,2023-09-17 17:40:13-07:00,2,0,예약된다는 거 말곤 딱히..,"병원을 어플로 예약할 수 있다는 거 말고는 딱히 좋은 점이 없어요
이용자에게도 돈 받으시는 거 이왕이면 더 편리한 어플이 되도록 힘써주세요
사용자가 설정한 대기자 수가 되었을 때 알람이 오도록 설정할 수 있게 해주세요
다른 공유이용자에게도 메인이용자처럼 대기인원이 보이도록 설정해주세요
영유아검진처럼 예방접종은 따로 옵션을 만들어주세요"
엌엌엌엌,2023-09-17 16:57:54-07:00,5,0,아,카드정보를 손으로 입력해야하는 개병신 어플
헿ㅇㅇㅇ,2023-09-17 07:34:50-07:00,5,0,상위 노출 위해 별 다섯개 아니 유료화가 무슨말이에요..?,"아픈 애들을 치료하는 비용도 아닌 
‘예약’하는데에 돈을 지불하라니요. 
아픈 사람들 상대로 제발… 돈벌이 마세요. 
아픈 아이들 상대로 돈벌이하면 좋습니까..? 
이러니 출산율 출산율 장난합니까..? 
천원 뭐 당연히 결제할 수 있죠. 근데 금액에 문제가 아니라고 봅니다. 어플 운영비용? 당연히 필요하겠죠. 근데 그걸 병원 상대로 청구하는게 아니라 
일반 소비자한테 그걸 청구하다니요. 
취약계층 무료? 그런걸로 이미지 좋게 하려구요..? 
너무 답답하고 화나고 이런 각박한 … 
똑딱 운영자님 생각 잘 하고 내린 결론이시길 바랄게요…;; 카카오톡이랑 뭐가 다릅니까..? 
다 이용하게 만들어놓고 쏙 가격 올리고 
소비자들은 이도저도 못하게 돈내고…"
dueveck,2023-09-17 07:15:50-07:00,1,0,정말 너무하네요,"한달 요금 일년해봐야 얼마 안 되는 돈이지만…
이걸 진료를 받을 환자들에게
받아야하는 돈인가요? 병원에서 서비스 이용료를 받아야하는 거 아닌가요? 아님 똑딱을 안 쓰고 예약을 할 수 있는 루트를 만들어주던가요"
휴슬픔,2023-09-17 05:37:39-07:00,1,0,유료좋은데,원래 국민복지인 영유아검진 예방접종 같은 경우 병원이랑 제휴가 되 똑닥으로만 예약을 받으면 무료로 받아야 하는 복지를 돈 주고서야 할 수 있는 유료화가 됩니다 이건 좀 문제가 있지 않나요 ? 영유아검진 예방접종 예약서비스를 없애던지 그 부분만 무료로 해야 맞다고 생각합니다
urbanboitew,2023-09-16 09:44:50-07:00,5,0,굿굿,좋아요
어플너무좋아요완전짱짱이에요,2023-09-16 07:31:40-07:00,1,0,유료화로 바뀌고 삭제합니다,"병원 예약도 돈주고 해야하는게
이해가 가지 않습니다"
yonginjudo,2023-09-15 17:30:28-07:00,1,0,유료로 인한 삭제,정말 가끔 쓰다가 겨우 진료 예약되는 병원 있으면 편하게는 썼지만 유료로 쓰기에는 안쓸거같아 삭제합니다
Mlee16,2023-09-15 03:07:50-07:00,1,0,유료화라구요?,고객들 이제 좀 모였다 싶으니 천원씩 처 받고 싶나보네요 이 돈을 왜 고객이 내나요  병원에 청구하세요
테스트용,2023-09-14 21:20:48-07:00,1,0,유료화,"너무 실망입니다. 
애 아픈데 돈내고 패스트패스권이라니?
정작 급한 애들은 응급실갑니다. 

아픈 애를 볼모로 장사하다니…
돈 안내면 이제 그냥 기다리라 이건가요?

무료로하다가 이용자 좀 모았다고 유료로 변경하다니!

놀이공원도 아니고 정말 너무 하네요."
yyy3444,2023-09-14 18:36:20-07:00,5,0,좋아요,좋아요
갸엉,2023-09-14 17:40:37-07:00,1,0,어이가없다,금액이 크던적던 그냥 갑자기 돈을 내고 이용해라? 그냥 지우고 오픈런 할듯-_-
꾸꾸꾸꾸링,2023-09-14 10:26:34-07:00,1,0,참.. 어이가 없어서 삭제합니다,"구독료를 왜 내야하는지 이해가 안 되네요ㅋㅋㅋ
단순 병원대기 순번 어플인데 구독료를?
병원에서 똑딱 이제 안쓴다고 다른 어플 알려주시더라니 구독료 말고도 다른 이유도 있겠죠?
예를들어 병원에도 이용료를 내라했던가 이용료를 더 올렸다던가 ㅋㅋㅋㅋㅋㅋㅋ̄̈ㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈
어플 삭제합니다

많은 사람들이 이용하게 만들었으니 이제 월결제 도입하셨고 그 다음에는 조금씩 가격상승시키고 프리미엄 서비스 같은 거 도입하시겠네요 ㅋㅋㅋㅋㅋ"
죽을맛,2023-09-14 10:10:17-07:00,1,0,너무 황당한 유료화,"처음부터 유료도 아니고,, 실컷 무료로 배포해놓고 이제와서 유료로 하면 ㅡㅡ 똑딱으로만 접수받는 소아과는 똑딱아니면 예약도 못하는데 가지말라는 건가요????? 무슨 이딴 어플이 다있어요 . 똑딱으로도 10초만에 접수마감 되서 접수하기도 힘든데.. 이딴 그지같은 어플을 돈내야하다니 .. 탈퇴함 ㅂㅂ"
가장 필요한것이 없네요,2023-09-13 22:34:25-07:00,5,0,좋아요.,월 천원정도 부담해도 괜찮을만큼 편해요.
뤼글뤼글,2023-09-13 18:02:03-07:00,1,0,불필요한 절차처럼 어플 만들어 놓고 돈내라니,"천원이면 아깝지도 않은 돈이니 그냥 그정도는 받아도 되겠다는 생각인가요?
번거로운 예약 어플만들어서 여기저기 어플깔고 예약하게 만들고 이제와서 사용하라면 돈내라니 갑자기
굉장히 불쾌해 지네여. 광고 수익으로 돈버세요."
J송,2023-09-13 02:28:28-07:00,1,0,애들 아픈걸로 돈벌어보겠다는게 정상인가,"23개월 애가 몇달만에 감기기운이 있어서 저녁진료 보려고 똑닥 들어갔는데 모바일 접수 마감될때까지 구독 결제창으로 막더라. 이 병원은 우리 애가 16개월 이상 다닌곳이다. 수요일 저녁 접수는 똑닥으로만 받는다. 니들한테 돈 안주면 우리 애 평생 진료봐준 선생님한테 접수조차 못하는 세상이 왔다.
똑닥이 없는게 차라리 낫겠다."
미키쿠키코코,2023-09-12 20:03:44-07:00,5,0,아니 무슨 병원예약하는데 돈을내래 ㅡㅡ,"무료로 잘하다가 돈에 눈돌아갔나 왜이럼??
개열받네 진짜 ㅡㅡ"
목화꽃다발,2023-09-12 16:43:21-07:00,1,0,다운받지 말아주세요. 사용하지 말아주세요.,"무료인줄 알고 다운받았습니다. 무료이어야 했다고 생각했기 때문이죠 1-2만원이 없어서 이 어플을 사용 안하는게 아니죠. 저 잠깐 편하자고 후폭풍은 생각 안한채 살기 싫어서 입니다. 병원에 가기 전 대기부터 돈을 내고 이용을 하게된다.. 이 생각의 파장은 생각 안하고 지금 당장 돈벌려는 1차원적인 생각으로 밖에 안보입니다. 돈을 내고 먼저 들어가고, 먼저 수술받게되는 세상을 돈 많은 사람들이 바보라서 못만든겁니까? 그러면 안되니깐 안만든거고, 이런 시스템이 되면 안되기 때문에 만들면 안되는거죠. 내가 안가고 싶다고 안갈수 있는 곳도 아닌, 아프면 꼭 가야되는 병원조차 진료받기 전 대기부터 돈으로 차이를 주면 안된다고 생각합니다. 이런 어플을 다른 사람들은 생각 못해서 지금까지 없었던거라고, 우리가 최초라고 자부심 느끼지 마세요. 이러면 안되기 때문에 안만든거고 이런건 만들면 안되는거에요. 내 시간을 내서 대기하는것과 내 돈을 내서 대기하는건 차원이 다른 얘기입니다. 시간을 돈으로 사라. 최소한 병원은 이 말이 적용되면 안됩니다."
silver lining H,2023-09-12 01:27:56-07:00,3,0,두 가지 개선점 필요.,"1. 실시간으로 반영되는 위젯 기능 요청합니다. 

진료 접수 후 어플을 닫았다가 순번 확인하러 매번 들어가기 번거롭습니다. 어려운 기능도 아닐텐데 잡금 화면에서도 확인할 수 있도록 위젯 제작해주세요. 

2. 진료 접수 후 화면을 끄거나 다른 어플로 전환했다가 다시 똑닥 어플로 돌아오면 다음의 오류 팝업이 항상 중복되어 여러개가 떠 있어 닫는 것도 일입니다. 

'서비스 이용 안내-일시적인 장애 또는 네트워크 문제일 수 있습니다. 잠시 후 다시 이용해주세요.'

데이터 환경과 관계 없이 항상 발생하는 동일한 오류인데 왜 개선하지 않고 놔두는지 이해가 되지 않네요. 

- 유료로 전환한 만큼 그에 걸맞는 대응 기대합니다."
Cho0802,2023-09-11 17:56:28-07:00,5,0,편해요,아이 병원데려갈때 너무 편해요!
