USER,DATE,STAR,LIKE,TITLE,REVIEW
Jaehyuk Bae,2023-08-22 02:38:09-07:00,5,0,원장님 피드백 감사합니다,진료보고나서 원장님 보내주신 글이 정말 도움이 많이 됐어요.
Belle Kimm,2023-08-22 02:38:07-07:00,5,0,원격진료 최고,원격진료 최고👍👍👍 진짜 병원가서 약타면 일주일 뒤에 약먹고 또 오라고 하는데 괜찮은 것 같은데 가야되나 말아야되나 약을 더 먹어야되나 말아야되나 고민될 때 집에서 그냥 원격진료 보면 되니까 세상에서 제일 편해요. 제친구들은 아직 모비닥 앱을 모르더라구요 병원이 다양해서 더 많은 동네에서 사용할 수 있으면 좋겠어요 진짜 한 번 쓰면 못끊어요 정말 좋아요!!!!
Minjun Jiyeon,2023-08-22 02:38:05-07:00,5,0,너무 편하네요!,너무좋아요 바쁜 병원은 전화 연결도 어려운데 이건 진료시간이랑 진료중인지 한눈에 확인되니까 전화할 필요도없고 간호사분들도 저도 서로 많이 편해진 것 같아요
Qjeon Mijung,2023-08-22 02:38:03-07:00,5,0,다양한 기능이 있어서 좋습니다,병원에 가서 마냥 기다리지 않고 진료봐서 좋구요 단순 예약앱이 아니라 정말 도움이 되고자 하는 기능이 많이 보여서 감동했어요 앞으로도 더 많은 좋은 기능들 만들어주세요 기대되는 앱이네요
Hyejin Suwon,2023-08-22 02:38:01-07:00,5,0,많은 정보를 얻을 수 있습니다,생각보다 많은 정보를 바로 확인가능해서 편리하고 무엇보다 가족을 등록해서 접수나 예약이 되는것이 좋구요 원격진료는 진짜 말해모해.. 진짜 최고입니다 단점을 굳이굳이 꼽자면 병원이 더 있으면 좋겠다 정도?
Kyung Chaewon,2023-08-21 02:40:25-07:00,5,0,아이 키우는 분들은 필수어플이네요,아이키우면서 정말 잘 활용하고 있어요!! 홈페이지 들어가서 운영시간 확인 하지 않아도 되고 번거로웠던 것들이 정돈된 기분~^^
Seungmin Ko,2023-08-21 02:40:24-07:00,5,0,원격 진료로 병원 안가도 되니 편해요,요즘 날이 더워서 원격진료로 진료 보고있어요. 병원 1년째 다니는 중인데 원장님이랑 영통하니까 웃겨요.ㅋㅋㅋ 편해서 계속 이용할생각입니다
Woo Kiyun,2023-08-21 02:40:23-07:00,5,0,진료가 가능한지 실시간 확인이 가능합니다,진료중인지 바로바로 확인 가능해서 편해요. 제가 다니는 병원이 원장님이 많고 진료시간 변동이 심해서 헛걸음을 종종했는데 모비닥 깔고부터는 그런일없이 편하고 좋네요 : ) 앞으로도 잘 이용할게요!
Sunwoo Ahn,2023-08-21 02:40:20-07:00,5,0,잘 사용하는 중입니다,잘 사용하고 있는 사용자입니다^^.. 아이들에게 병원 예약은 필수인데 늘 다니던 소아과에서 모비닥을 사용하니 편하고 좋아요. 원격진료도 정말 굿.. 모두가 알았으면 좋겠어요
Jungeun Jungnam,2023-08-21 02:40:18-07:00,5,0,의사선생님의 피드가 도움이 됩니다,양질의 글을 볼 수 있어서 좋습니다. 의사들이 직접 작성한 피드가 저에겐 많은 도움이 되네요
