USER,DATE,STAR,LIKE,TITLE,REVIEW
ㅇㅈㅇㅈ1325,2023-05-08 05:36:21-07:00,1,0,해외 거주자인데,병원이 거의 아예 안뜨네요... 비대면 진료 해외 거주자도 가능하려면 gps는 해외 기준으로 안잡아야하지 않을까요 ㅠㅠ 위치때문에 병원 하나도 안뜨고 개발용 테스트 병원만 떠서 사용할수가 없네요 그리고 대리인 인증 됐다고 떴는데도 앱 프로필 화면엔 인증 대기중이라는거보니 값도 동기화 안되는거같은데..
사당칼잡이,2022-11-29 23:23:51-07:00,5,0,코로나에 유용하게 사용하였습니다.,약배송 시스템 너무 좋아요!
서울대구로구,2022-11-29 23:19:31-07:00,5,0,간단하게 원격진료 봤어요,"원격으로 편하게 진료 받았어요
편하긴 한데 디자인은 별로인거 같아요"
수징몬,2022-05-15 23:23:09-07:00,5,0,엠디톡 애용할게요,뭔가 타 비대면진료 앱이랑 비교했을때 진정성이 느껴지네요. 의사매칭도 빠르고 상세하게 상담해주셔서 감사합니다. 아직 좀 미숙한 부분도 있지만 곧 업뎃되리라 믿고 자주 애용할게요!
넝ㄹㄷ,2020-12-29 20:07:40-07:00,1,1,내방,병원도가기멀고 귀찮아서 깔아봤는제 전화하는족족 다 내방하라네요 엠디톡으로 전화드렸다고해도 그게뭐냐고 설명하느라 시간만 다 가고요
구모띠,2020-11-06 16:46:01-07:00,5,0,홍보좀 많이 해주세여,이런 앱이 읶다는걸 처늠알았어요 숙취해소 찾다가 알게됬는데 저같이 병원가기 ㄱ ㅣ찮는사람한테 너무 좋아요
"밍콩이,,",2020-10-16 06:39:16-07:00,1,1,-,"다운받고 회원가입후 로그인 하니 
갑자기 앱이 튕기더니 그때부터 
앱이 켜지지도 않고 아무것도 안됌
완전 먹통 .. 이건 뭔가요? 해결책좀.. 
쓰라고 만든건지.. 아 ;;;"
금은동임ㅋㅋㅋ,2020-10-07 18:00:25-07:00,2,1,버그현상,어플 다운받고 회원가입 완료하고 로그인 하면 어플 계속 팅겨요 계속~~~
이이이아이이아이아이아어,2020-09-17 21:45:59-07:00,2,1,방금깔았는데,최신버전으로 깔라고 계속 튕겨요ㅠ..
좀니,2020-07-20 17:14:12-07:00,4,1,어플자체는 좋은데요,"어플자체는 좋은데요... 그 후에 처방전으로 약 지으려고 하니 제가 사는 곳에서는 처방전에 있는 약이 없다는 약국이 많아서 결국 약을 처방 받지 못했어요..
지역 병원도 많이 생겨났으면 좋겠습니다.."
wednedfa,2020-04-22 23:05:29-07:00,3,0,먼거리에서 의사처방,"친구가 이야기해서 혹시나 했더니 정말 의사선생님
진단 체크해주시고 관련 처방 받았어요. 거리가 멀어서 고민되던 약을 바로 처방 받았네요.
다음에 또 이용할 생각입니다.!!! 

다양한 분야의 선생님들이 계셨으면 좋겠어요!
친절하게 상담해주셔서 감사합니다!"
ㅎㅎㅎㅇㅇㅇㅇㅇㅎㅎ호ㅗㅓㅁ,2020-03-31 07:24:30-07:00,5,0,ㅎㅎ,의사 선생님과 상담 할 수 있어서 좋습니다 추천해요
