USER,DATE,STAR,LIKE,TITLE,REVIEW
^^^^^^^^7,2023-09-01 09:42:30-07:00,2,0,무한 업데이트,"업데이트가 안돼요
업데이트 했는데 자꾸 업데이트 버튼이 활성화되는데
해결 좀 해주세요"
토마토처럼,2023-09-01 08:03:13-07:00,1,0,계속 업데이트 하라고 뜨고 안열려요,계속 업데이트만 반복 뜨고 안열려요
아룡ㅋ,2023-09-01 06:37:12-07:00,1,0,업데이트 오류요 왜이렇게 늘 불안정 한가요,늘 에러가 너무 많아요
293947호이,2023-08-30 18:10:23-07:00,1,0,약 배달이 세시간이 걸리네요,그냥 병원가는걸 추천드립니다…
동메이,2023-08-28 22:09:42-07:00,1,0,최악임 사기치는병원약국 많음,"6월부터 처방이 3개월까지만 된다고하는데
병원설명에는 12개월처방 붙혀있길래 했더니 3개월만 끊어놨고 설명도 없고, 법이 그런거지 하고 약조제로 넘어가니 근처 해당 약있는 약국하나있어서 신청했더니 약도 다른거준다하고 뭐 제대로 되는거도없고 가격부터 전부 설명이 되는게 하나없고 그냥 메리트가 없는듯"
askldhahwvs,2023-08-14 01:50:22-07:00,1,0,개어이털리는어플,"살면서 기분 안좋아서 리뷰 처음써보네 ㅋㅋ 그냥 다른 비대면 진료 어플 사용하세요 탈모관련 약 처방 받으려고 자동매칭 하면 일단 진료비 비싼 순으로 되는듯.. 진료비 1만5천원 ㅋㅋㅋ 일단 거기까지 그렇다치고 약 처방 받고 동네병원 다돌아다녀도 약이 없음 ㅋㅋ 자기 병원밑에 있는 약국 병원 처방해 주는듯... 몇일동안 약 찾아 지역에 있는 약국 거진 싹 다돌아도 약이 없음 ㅋㅋㅋ 그래서 고객센터 전화했더니 처방전 기간 지났다고 병원에 문의 하라고 하네요 소비자 입장에서 해볼꺼 다해보고 고객센터에 연락 한건데, 늦게 연락 해서 도와줄수 없다고만 답변함 약 배송 시스템 더이상 윤영하지 않는다고 하고 약도 자기네 병원 밑에 있는 약국 약 처방에 진료비는 비싼순으로 매칭하는거 보니 이제 이어플 쓸이유가 없는듯 초반에 몇번 서비스 좋게이용 했는게 갈아탑니다 참고로 다른 어플은 처방전 여기 1/3가격 나오네요"
숰댱,2023-08-09 22:48:17-07:00,5,0,지식인보다 조음,평소에 궁금하던 게 있었는데 바로 의사 선생님들이 답해주셔서 좋았어요! 확실히 전문가가 답변해주시니 신뢰가 가기도하고 병원 가기전에 사전 정보 얻기 좋은 것 같아요.
hahaha3557,2023-07-28 01:27:48-07:00,5,0,성격검사 신기,엠비티아이와 달리 진짜 내 성격을 알게되어 신기했습니다 엄마 아빠 중 누구를 더 닮았는지도 알수있고 보통 인터넷에서 하던 성격검사와 달랐습니다 한번 해보는거 추천~~~
신림동물주먹,2023-07-28 01:26:41-07:00,5,0,생각보다 정말 좋은 어플이네요.,조금 무거울수도 있는 검사를 편하고 쉽게 진행해서 걱정했던 것과 달리 너무 만족스러웠습니다. 다들 부담스러워 하지 마시고 시작해보세요!
슬이,2023-07-06 15:54:11-07:00,2,0,아이폰은 안되는건가요?,걷기 허용했는데 왜 계속 허용하라고만 나오나요. 어쩌라는건지… 답답
ㅇㅇㅇㅇㅋㅇㅋㅇㅇㅇㅇㅇㅇㅇ,2023-05-22 01:01:11-07:00,1,0,왜 BC카드로 결제할 수 없나??,외국인대한 너무 차별화
ㅊㅊㅎㅅㅎㅎfg,2023-05-13 07:57:32-07:00,2,0,앱 자체 개선이 시급한 것 같습니다,"요즘 시대에 맞는 트렌디한 앱이지만 앱 개발적인 부분이 너무 부족합니다. 초보자가 대충 만든 느낌..?
- 본인 인증 문제: 카카오톡 간편 가입 후 심리 상담 검사 신청시 본인 인증이 필요하다고 뜨지만 본인 인증창으로 자동으로 넘어가지 않고 앱 홈화면으로 계속 넘어감.
- 심리 상담 검사 결제시 카드 등록이 필요하다고 나오나, 추가적인 설명 없이 알림창만 계속뜸. 자동으로 등록창으로 넘어가지 않음. 현재 결제창을 닫고 마이페이지에서 직접 수동으로 눌러 등록한 뒤 신청 절차를 처음부터 다시 입력해야 함."
안녕장미,2023-05-04 19:24:33-07:00,1,0,최대 단점 처방전받아서 약국가면 약이 없음,"병원 바로밑에 있는 약국 아니면 전국 어디든 약국에 약이 없음 비대면 진료까지 최상인데 집근처 약국 10곳이 다 똑같은 말 이런약이 없다 한다 돌아다니다가 포기 
당장 아파서 약을 받아야하는데 택배로 받아라 ㅡㅡ"
추노야 놀자,2023-04-10 06:58:31-07:00,1,0,비대면이란 면목으로 돈 엄청 받는 앱,"여드름 비대면 진료 받았는데
여드름 진료 만원이라 해놓고 오천원 더 받아가고
약값은 제가 집근처 병원에서 받은 약이랑 이름 성분 다 똑같은데 집 근처는 만 7천원, 약 배송은 3만원ㅋㅋㅋㅋㅋ 비대면이라고 가격 명시도 제대로 안해주고 약국은 머리굴려서 돈 더 받아가려하고 이게 정말로 의료 목적 앱인가요 의료로 가장한 사업 목적 앱인가요?"
세리니맘,2023-03-14 08:11:32-07:00,5,0,업데이트를 했는데도…,업데이트 하라면서 들어가지질 않습니다.  ㅠㅠ
Eunse77,2023-03-14 08:03:49-07:00,5,0,업데이트 했는데 어플실행이 안돼요,"업데이트 했는데 어플실행이 안돼요
현재버전이 3.0.12인데 왜 3.0.10으로 업데이트 하라는거죠"
ordinary_reviewer,2023-03-10 02:46:50-07:00,1,1,최악의 앱! 정말 최악중에 최악!,"1. 물마시기 이벤트 1시간마다 3번 하루에 출첵 10번 하면 최대 3만 원 준다고 홍보 엄청함 ㅋㅋㅋㅋㅋ
2. 갑자기 3시간마다 1번 * 3번 하루 출첵으로 바뀌었으나 최대 3만 원은 유지
3. 갑자기 다시 어뷰징 드립 치면서 시간내서 1번만 참여 가능하다고 변경.

홍보는 홍보대로 가입은 가입대로 앱 방문은 방문대로 알뜰하게 챙기고 이벤트 펑 하셨군요. 요즘 많이들 이렇게 하던데 저도 이런거 한번 기획해서 DAU 좀 올려봐야겠어요!"
와우요우,2023-03-05 19:46:08-07:00,5,0,비대면 진료라니!!,인기 병원인경우 진료대기만 1시간... 이동하는시간... 약타는 시간... 매번 시간을 몇시간빼서 병원을 가곤 했는데 올라케어로 전화 1분이면 진료와 약 처방을 할수 있네요!! 약도 배송비만 내면 집까지 보내주니 너무나 편리합니다. 최근 알게되어서 지인분들께 알리는중이에요!! 너무 좋아요!!
하셰릴,2023-03-03 21:24:54-07:00,5,0,간편하고 좋아요,"평일에 병원 갈 시간이 없어서
비대면 진료하고 약을 받았는데
너무 간편하고 좋았어요
의사쌤도 직접 만나서 진료하는거만큼
자세하고 친절하게 진료봐주시네요
결제는 카드등록해두면 그거로 알아서 돼요
물론 직접가서 진료하는게 더 정확하긴 하겠지만
각각 장단점이 있는거 같아요!
다음에 또 이용하려고 해요👋🏻👋🏻"
ㅊㄴㅌㄴㄴ,2023-03-02 05:15:25-07:00,5,0,실행이 안되고 계속 튕기네요,아이폰 사용자인데 실행하면 계속 튕겨요 몇 번을 삭제했다 다시 깔아도 똑같네요 저장공간도 여유있는데 왜 이럴까요 답변 좀 해주세요
써볼려고 다운받앗어요!,2023-02-28 21:09:17-07:00,5,0,급할때 찐으로 도움되는 어플,"부득이하게 병원에 갈 수 없지만
몸은 아플때 이용하는 어플인데 
배송비가 비싼거 제외하고는 너무 좋아요
편리함에 비하면 비싸지도 않을지도 !!!"
날쏭,2023-02-27 23:38:32-07:00,5,0,올라케어 너무 빠르고 간편해서 좋아요,"전화로 진료받고 약 제조해서 택배로 받고~ 

잘하고 소문난 병원선택하여 증상에대해
사진찍어 올리면 자세한 진료도 해주고~

정말 주변지인에게 강추하고 있답니다~^^*"
햇니쭈니아빠,2023-02-23 21:36:14-07:00,5,0,탈모인들의 필수앱,이제 종로5가 가지 않고도 탈모약을 편리하게 싼값에 구매 가능하게 되었네요.
수줍 soohee,2023-02-21 04:53:44-07:00,5,0,올라케어 덕분에 편하게 집에서 진료받아요.,"몸이 급격하게 안좋아서 병원 갈 힘이 없었는데
비대면 진료를 검색하다 올라케어를 발견했어요.
진료 신청 후 약 10분의 전화로 진료를 보았고요.
정말 친절하게 관리방법까지 상세하게 알려주셨어요. 집에서 약배송을 받기까지 3시간도 안돼서
정말 필요한 분들에게는 안성맞춤이겠구나 싶었습니다. 전혀 아깝지 않았고요. 무엇보다 병원에 직접 가서 진료받는 것도 1분이면 끝나는 법인데 
비대면임에도 너무 성실하게 진료봐준 의사선생님과 약사님들께 감사합니다 :)"
남여7세마동석,2023-02-20 23:02:50-07:00,5,0,비대면 진료와 배송 너무 좋아요!!!,매일 먹는 약인데 병원 매번 가기 귀찮았어요 ㅠㅠ 근데 올라케어에서 비대면 진료 후 약배송하니 방문 할 필요도 없고 진료비도 비교해서 받을 수 있고 동네약국보다 약값도 저렴해서 모든점이 다 좋아요 ㅋㅋㅋㅋ
Rtydfg,2023-02-20 23:01:57-07:00,5,0,6개월된아기랑병원,"어린아기랑 있으면 병원에 가는게
쉽지 않아요 불가능이죠거의 
근데 단순한 진료부터 약까지 집으로 한방에...
너무 편해서 애용 중입니다~
의사선생님도 척하면 척이셔요~
비대면 진료라고 걱정했는데 더 좋은것같아요
장점이 더 많은 앱이라 사랑합니다😻"
모데라블,2023-02-16 20:46:48-07:00,5,0,추천드려요,집에서 편하게 비대면 진료와 약배송을 받을 수 있어서 좋아요.
초실이,2023-02-14 16:22:45-07:00,5,0,너무너무 좋아요!!계속 해주세요,"비대면 진료 서비스 너무 좋아요
코로나때 이용하고 너무 좋아서 이번에 진료받으러 가기 애매한 시간이라 이용해봤어요 ㅎㅎ혼자 아플 때도 간단하게 집에서 의사선생님과 직접 통화할 수 있고 배송도 빠르네요 자동으로 병원 약국 매칭해주고 간단하게 카드 결제 할 수 있어 좋아요
예전처럼 배송비 무료면 좋겠지만 그럼 운영에 어려움 있으시니 어쩔 수 없지요 ㅎㅎ 추천해요"
지훈맘05,2023-02-03 18:52:40-07:00,5,0,너무 편하고 좋아요.,"급할때 사용하니
너무 좋아요."
후루룹뚝딱,2023-02-03 18:17:46-07:00,5,0,바쁜 직장인에게 최고의 앱,직장인들은 정말 평일에 시간내기 힘든데 이런 직장인들에게 꼭 필요한 앱이라고 생각합니다
깡뉴리,2023-01-22 20:54:22-07:00,5,0,병원가기 귀찮을때 필수앱💊,"요즘에 비대면 진료 앱이 꽤 많이 보이는편이라고 생각해요 
저는 병원가는걸 꽤 많이 귀찮아해서 이런 비대면 앱을 자주 이용하는데 바쁜 직장인이나 시간내기 어려우신 분들은 이런 앱이 정말 빛일것 같아요 ㅠㅠ
약값+배달비가 좀 사악하긴 하지만 편리성을 생각하면 괜찮다고 생각합니다!
예전에 올라케어 초기에 사용했을때는 아픈데 약배달이 너무 안와서 좋은 인식이 아니었는데 오늘 사용해보니까 연휴인데도 빨리 약배달 해주셔서 너무 편하고 좋았어요 
일단 앱 UI도 한눈에 다 들어오는것도 넘 좋구요
앞으로도 비대면 진료는 올라케어로 사용할 생각입니다👍🏻"
쌩콩이3,2023-01-12 22:09:29-07:00,5,0,진짜 좋네요,좋은 세상이에요. 이걸 누려야하는데 처음 사용해봤어요. 비대면 진료받고 약도 다음날 바로 받고. 너무 편해요. 특히 아기 있어서 밖에 나가기 힘든 엄마들에게 너무 좋아요.
킹갓시티,2023-01-05 00:12:32-07:00,5,0,편하고 좋네요,비대면이라 편하고 좋습니다
diata34,2022-12-30 22:19:22-07:00,5,0,매우만족,매우만족
